job_title,job_date,job_views
粤港澳大湾区重要节点城市——惠州学院2021年招聘专任教师（博士、硕士）,2022-01-06,126
中共安徽省委党校（安徽行政学院） 2021年度公开招聘博士公告,2022-01-06,79
福州大学最新博士后招聘公告,2022-01-05,83
专升本咨询教师实习岗位招聘,2022-01-05,78
国家国防科技工业局军工项目审核中心公开招聘 应届毕业生的公告,2022-01-05,101
福建师范大学2022年博士后招聘简章,2022-01-05,63
安阳学院2022年度招聘公告,2022-01-05,72
中山大学微电子科学与技术学院虞志益教授团队（下一代处理器研究团队）招聘科研助理公告,2022-01-05,67
重庆唯申科技有限公司招聘LabVIEW工程师,2022-01-05,72
广西师范大学2021年高层次人才招聘公告,2022-01-05,66
山西医科大学刘鹏教授课题组招聘研究员、博士后、科研助理等研究人员,2022-01-05,61
招聘博士/副研究员年薪45万+，博士后30万+/深圳职业技术学院,2022-01-04,361
西南医科大学2022年诚聘海内外英才,2022-01-04,254
台州学院高等研究院大数据智能医疗研究所招聘启事,2022-01-04,232
深圳大学食品科学与加工研究中心吴奇院士团队招聘博士后公告,2022-01-04,227
2022年南通市通州区公开选调优秀青年人才简章,2022-01-04,349
重磅来袭，百万揽才｜巢湖学院2021-2022年人才引进公告,2022-01-04,266
南方科技大学电子系Aung Ko Ko Kyaw课题组招收材料研发实习生启事,2022-01-04,241
烟台先进材料与绿色制造山东省实验室2021年公开招聘工作人员简章,2022-01-04,224
湘潭大学2021年诚聘海内外人才,2022-01-04,224
烟台东方威思顿电气有限公司2022届校园招聘简章,2022-01-04,212
四川轻化工大学2022年人才引进政策,2022-01-03,317
2022年潍坊市“才聚鸢都·博士潍坊行”暨潍坊学院第五届博士“鸢都行”活动的通知,2022-01-02,492
常州工学院2021-2022年人才招聘,2022-01-02,460
成都航空职业技术学院2022年人才（硕士、博士）招聘公告,2021-12-31,734
渤海大学长年诚聘博士及在读博士,2021-12-31,504
中共河北省委党校（河北行政学院）2021年诚聘英才,2021-12-31,353
中国地震局地球物理研究所高层次人才引进公告,2021-12-31,372
深部岩土力学国家重点实验室诚聘博士,2021-12-30,409
浪潮集团2022届校园招聘秋招补招,2021-12-30,464
广东机电职业技术学院、广东省博士工作站2022年博士研究生招聘公告,2021-12-30,325
南通大学电气工程学院诚聘海内外英才,2021-12-30,333
中国科学院长春应用化学研究所2022年度招聘启事,2021-12-30,306
河北农业大学2022年选聘博士公告,2021-12-30,291
中国科学院微生物所病毒感染与免疫相关博士后岗招聘,2021-12-30,285
中国水产科学研究院黄海水产研究所2022年公开招聘工作人员公告,2021-12-30,276
浙江大学机械设计研究所2021年招聘副研究员、博士后,2021-12-30,283
2022年春季全国研究生专场巡回招聘会暨国防军工类 专场招聘会——电子科技大学站,2021-12-30,191
2021年吉利学院冬季校园招聘,2021-12-30,147
格力电器2022届春季校园招聘提前批,2021-12-30,126
启明信息技术股份有限公司2022年校园招聘简章,2021-12-30,116
广东省智能科学与技术研究院2021年招聘公告,2021-12-30,93
航天行云（航天科工四院卫星总体单位）2022年度校园招聘,2021-12-29,362
西安电子科技大学期刊中心2022年其他专技岗位招聘公告,2021-12-29,178
重庆邮电大学2022年招聘启事,2021-12-29,150
中国热带农业科学院南亚热带作物研究所 湛江实验站2022年第一批公开招聘工作人员公告（第1号）,2021-12-29,80
深圳市坪山区科技创新局生物医药类专业特聘博士招聘公告,2021-12-29,78
清华大学材料课题组招聘热电/热障/结构陶瓷博士后,2021-12-29,79
中国热带农业科学院公开招聘公告,2021-12-29,65
山西医科大学刘鹏教授课题组招聘研究员、博士后、科研助理等研究人员,2021-12-29,69
山东省科技发展战略研究所2022年人才招聘,2021-12-29,73
西安电子科技大学空间科学与技术学院2021年教师岗位招聘启事,2021-12-29,92
海南医学院2021-2022学年博士及硕士高级职称人才公开招聘公告,2021-12-28,161
中国天辰工程有限公司2022年校园招聘,2021-12-28,170
武汉东湖学院高层次（高学历）人才招聘公告,2021-12-28,91
厦门工学院2022年海内外高层次人才招聘启事 ,2021-12-28,92
山东省科学院海洋仪器仪表研究所齐鲁工业大学（山东省科学院）海洋技术科学学院招聘信息,2021-12-28,77
苏州系统医学研究所2022年招聘,2021-12-28,101
江苏科技大学2022年诚聘海内外优秀人才,2021-12-28,108
中科南京智能技术研究院招聘简章,2021-12-28,92
中国铝业集团有限公司  2022年应届高校毕业生招聘公告,2021-12-28,90
长三角腹地-常州工学院2021年人才招聘启事,2021-12-27,115
浙江师范大学2021年专任教师招聘公告,2021-12-27,104
深圳大学广东省海洋藻类开发与应用工程重点实验室博士后招聘,2021-12-27,72
